Link,Nationella Touren #2 Linköping,30,2021,A,Link,49526,-32,18,77
Ledge,Ledgestone Insurance Open,31,2021,NT,Ledge,47981,-17,-19,1000
Portneuf,Portneuf Valley Open,31,2021,A,Portneuf,49531,-32,33,37
Firefly,Firefly Hollow,31,2021,A,Firefly,48629,-18,nan,37
Idle,Idlewild Open,32,2021,NT,Idle,48688,-25,-1,1000
EDGF,European Disc Golf Championship,32,2021,A,EDGF,50171,-43,-11,1000
Maine,Maine State Championship,33,2021,A,Maine,52756,-20,23,50
Stafford,Stafford Open,33,2021,A,Stafford,47835,-37,-6,100
Mayhem,Mayhem Open,33,2021,A,Mayhem,47829,-24,nan,51
Lund,Nationella Touren #3 Lund,33,2021,A/B,Lund,49499,-19,9,70
Brent,Brent Hambrick Memorial Open,33,2021,A,Brent,49003,-35,0,42
Ontario,Ontario Disc Golf Championship,33,2021,A,Ontario,48157,-49,8,54
Cedar,Cedar Creek Open,33,2021,A,Cedar,48125,-29,8,56
Finnish,Finnish Nationals,33,2021,A,Finnish,49601,-37,-9,1000
Sweden,Swedish Championships,34,2021,A,Sweden,50138,-33,36,1000
Del,Delaware Challenge,34,2021,NT,Del,47520,-22,-14,1000
Ponca,Ponca City Open,34,2021,A,Ponca,48160,-20,-1,44
MVP,MVP Open at Maple Hill,35,2021,NT,MVP,49214,-22,-4,1000
Rivers,Three Rivers Open,35,2021,A,Rivers,47820,-36,-10,57
Toronto,Toronto Island Maple Leaf,35,2021,A/C,Toronto,53548,-23,15,31
Falcons,Falcons Flight,35,2021,A,Falcons,52921,-14,21,70
Trail,End of the Trail,35,2021,A/B,Trail,49909,-31,2,56
Chiro,Midtown Chiropractic Championship,35,2021,B/A,Chiro,47841,-33,nan,28
Grass,Weapons of Grass Destruction,35,2021,A,Grass,48482,-19,15,43
Heinola,Prodigy - Heinola,35,2021,A,Heinola,53794,-18,10,101
Green,Green Mountain Championship,36,2021,NT,Green,48690,-41,-7,1000
SEI,Southeast Idaho Inv,36,2021,A,SEI,49007,-32,nan,19
Nokia,Nokia Open,37,2021,A,Nokia,49152,-18,32,60
Pitt,Pittsburgh Open,37,2021,A,Pitt,48670,-31,-10,69
Foxwood,Foxwood Open,37,2021,A,Foxwood,48209,-42,9,33
Safari,San Francisco Safari,37,2021,A,Safari,48170,-25,-3,39
Michigan,Michigan State Championships,37,2021,A,Michigan,48126,-31,8,66
Hartford,Greater Hartford Open,37,2021,A,Hartford,48030,-29,19,50
SLO,St. Louis Open,37,2021,A,SLO,47875,-26,8,87
Match,DGPT Match Play Championship,37,2021,A,Match,50463,nan,nan,1000
Music,Music City Open,38,2021,NT,Music,47541,-32,-15,1000
Superior,Lake Superior Open,38,2021,A,Superior,48965,-28,25,90
Hollows,Hollows Fall Classic,38,2021,A,Hollows,47824,-13,17,49
Falko,Nationella Touren 4 Falköping,38,2021,A,Falko,50131,-23,8,62
Kentucky,Kentuckt State Championships,39,2021,A,Kentucky,51760,-32,20,24
Piney,Piney Woods Open,39,2021,A,Piney,51632,-20,17,70
BigRip,Big Rip Classic,39,2021,A,BigRip,47867,-32,5,38
FourStates,Four States Open,39,2021,A/B,FourStates,48924,-20,11,39
Oakland,Oakland County Championship,39,2021,B/A,Oakland,48179,-33,-1,32
Seth,Seth Burton Memorial,39,2021,A/B,Seth,47889,-26,7,27
Clash,Carolina Clash,39,2021,A,Clash,47893,-23,-4,97
Pink,Throw Pink,40,2021,A,Pink,50023,nan,-2,1000
USDGC,US Disc Golf Championship,40,2021,Major,USDGC,47518,-26,nan,1000
